name,wilayah,category,KELURAHAN_REF,KECAMATAN_REF,KODEPOS_REF,STATUS
Green Pramuka City,Jakarta Pusat,apartemen,Rawasari,,,OSM_Success
Sudirman Park,Jakarta Pusat,apartemen,Karet Tengsin,,10220.0,OSM_Success
Semanggi,Jakarta Selatan,apartemen,Karet Semanggi,,12930.0,OSM_Success
Batavia,Jakarta Pusat,apartemen,Karet Tengsin,,10240.0,OSM_Success
Menteng Park,Jakarta Pusat,apartemen,Cikini,,10330.0,OSM_Success
Elpis Residence,Jakarta Pusat,apartemen,Gunung Sahari Utara,,10720.0,OSM_Success
1 @ Cik Ditiro,Jakarta Pusat,apartemen,Gondangdia,,10350.0,OSM_Success
Kusuma Atmadja Residence,Jakarta Pusat,apartemen,,,,Not_Found
Kimara Residence,Jakarta Pusat,apartemen,,,,Not_Found
The Boulevard,Jakarta Pusat,apartemen,Cakung Timur,,,OSM_Success_Recovered
The Royale Springhill Residences,Jakarta Pusat,apartemen,Pademangan Timur,,14410,OSM_Success_Recovered
Cik Ditiro Residence,Jakarta Pusat,apartemen,Menteng,,10310.0,OSM_Success
Bandar Kemayoran,Jakarta Pusat,apartemen,Kemayoran,,,OSM_Success
Pasar Baru Mansion,Jakarta Pusat,apartemen,Pasar Baru,,10120.0,OSM_Success
Istana Sahid,Jakarta Pusat,apartemen,Karet Tengsin,,10220.0,OSM_Success
Mitra Oasis,Jakarta Pusat,apartemen,Senen,,,OSM_Success
Executive Menteng,Jakarta Pusat,apartemen,,,,Not_Found
Mediterania Lagoon Residences,Jakarta Pusat,apartemen,Kebon Kosong,,,OSM_Success
Springhill Terrace,Jakarta Pusat,apartemen,Pademangan Timur,,14410,OSM_Success_Recovered
Cityloft,Jakarta Selatan,apartemen,,,,Not_Found
Cempaka Mas,Jakarta Pusat,apartemen,Cempaka Putih Timur,,10540.0,OSM_Success
Taman Kemayoran Condominium,Jakarta Pusat,apartemen,Kebon Kosong,,,OSM_Success
Mediterania Palace Kemayoran,Jakarta Pusat,apartemen,Kebon Kosong,,10630.0,OSM_Success
The Boutique,Jakarta Pusat,apartemen,Kemayoran,,,OSM_Success
Cosmo Terrace,Jakarta Pusat,apartemen,Kebon Melati,,10230.0,OSM_Success
Thamrin Nine,Jakarta Pusat,apartemen,Kebon Melati,,10230.0,OSM_Success
Jakarta Residence,Jakarta Pusat,apartemen,Cempaka Putih Timur,,10510.0,OSM_Success
Menara Jakarta,Jakarta Pusat,apartemen,Karet Tengsin,,10250.0,OSM_Success
Sudirman Tower Condo,Jakarta Selatan,apartemen,,,,Not_Found
Thamrin Residence,Jakarta Pusat,apartemen,Kebon Melati,,10230.0,OSM_Success
Best Western Mangga Dua,Jakarta Pusat,apartemen,Mangga Dua Selatan,,10730.0,OSM_Success
Cosmo Park,Jakarta Pusat,apartemen,,,,Not_Found
Sahid Sudirman,Jakarta Selatan,apartemen,Karet Tengsin,,10220,OSM_Success_Recovered
Keraton At The Plaza,Jakarta Pusat,apartemen,Kebon Kacang,,10350.0,OSM_Success
Salemba Residence,Jakarta Pusat,apartemen,Paseban,,10440.0,OSM_Success
Puri Kemayoran,Jakarta Pusat,apartemen,Kebon Kosong,,,OSM_Success
The Mansion at Dukuh Golf Kemayoran,Jakarta Pusat,apartemen,,,,Not_Found
Mangga Dua Court,Jakarta Pusat,apartemen,Mangga Dua Selatan,,,OSM_Success
Capitol Suites,Jakarta Pusat,apartemen,Senen,,,OSM_Success
Grand Kartini,Jakarta Pusat,apartemen,Sawah Besar,,10720.0,OSM_Success
Da Vinci Penthouse,Jakarta Pusat,apartemen,,,,Not_Found
Holland Village,Jakarta Pusat,apartemen,Cempaka Putih Timur,,10640.0,OSM_Success
Capitol Park,Jakarta Pusat,apartemen,Kenari,,10430.0,OSM_Success
57 Promenade,Jakarta Pusat,apartemen,Kebon Melati,,10230.0,OSM_Success
Kempinski Grand Indonesia,Jakarta Pusat,apartemen,,,,Not_Found
Menteng Square,Jakarta Pusat,apartemen,Kenari,,10430.0,OSM_Success
Pavilion,Jakarta Pusat,apartemen,Karet Tengsin,,10220.0,OSM_Success
T Residence,Jakarta Pusat,apartemen,,,,Not_Found
Le Parc,Jakarta Selatan,apartemen,Kebon Melati,,10230,OSM_Success_Recovered
Amethyst Tower Kemayoran,Jakarta Pusat,apartemen,,,,Not_Found
Senayan City Residence,Jakarta Pusat,apartemen,Gelora,,10270.0,OSM_Success
Thamrin Executive Residence,Jakarta Pusat,apartemen,Kebon Melati,,10230.0,OSM_Success
Casa Domaine,Jakarta Pusat,apartemen,Karet Tengsin,,10220.0,OSM_Success
Arandra Residence,Jakarta Pusat,apartemen,Cempaka Putih Timur,,10510.0,OSM_Success
Rajawali Condominium,Jakarta Pusat,apartemen,,,,Not_Found
Grand Palace Kemayoran,Jakarta Pusat,apartemen,Kebon Kosong,,,OSM_Success
Sudirman Hill,Jakarta Selatan,apartemen,Karet Tengsin,,10240,OSM_Success_Recovered
Springhill Royale Suites,Jakarta Pusat,apartemen,Pademangan Timur,,14410,OSM_Success_Recovered
H Residence Kemayoran,Jakarta Pusat,apartemen,Pademangan Timur,,14410,OSM_Success_Recovered
Istana Harmoni,Jakarta Pusat,apartemen,Petojo Utara,,10160.0,OSM_Success
Plaza Residence Intercontinental,Jakarta Pusat,apartemen,,,,Not_Found
Sudirman Residences,Jakarta Selatan,apartemen,Setiabudi,,,OSM_Success
Sentosa Residences,Jakarta Pusat,apartemen,,,,Not_Found
Sudirman Suites,Jakarta Pusat,apartemen,Bendungan Hilir,,10210.0,OSM_Success
Ascott Jakarta,Jakarta Pusat,apartemen,Kebon Melati,,10230.0,OSM_Success
Shangri-La Residence,Jakarta Pusat,apartemen,,,,Not_Found
Park Royale,Jakarta Selatan,apartemen,,,,Not_Found
Mediterania Boulevard Kemayoran,Jakarta Pusat,apartemen,Kebon Kosong,,,OSM_Success
Palazzo,Jakarta Pusat,apartemen,,,,Not_Found
1Park Avenue,Jakarta Selatan,apartemen,,,,Not_Found
Casablanca Mansion,Jakarta Selatan,apartemen,Menteng Dalam,,12860.0,OSM_Success
Ambassade Residences,Jakarta Selatan,apartemen,Karet Kuningan,,12940.0,OSM_Success
Permata Hijau Suites,Jakarta Selatan,apartemen,Grogol Utara,,12210.0,OSM_Success
Pakubuwono Town House,Jakarta Selatan,apartemen,,,,Not_Found
The Foresque Apartment,Jakarta Selatan,apartemen,,,,Not_Found
Pakubuwono Signature,Jakarta Selatan,apartemen,Gunung,,12120.0,OSM_Success
Abode,Jakarta Selatan,apartemen,,,,Not_Found
Cilandak 88 Condominium,Jakarta Selatan,apartemen,,,,Not_Found
The Wave,Jakarta Selatan,apartemen,Menteng Atas,,,OSM_Success
Sudirman Mansion,Jakarta Selatan,apartemen,Senayan,,12190.0,OSM_Success
Bellagio,Jakarta Selatan,apartemen,Kuningan Timur,,,OSM_Success
Four Winds of Senayan,Jakarta Selatan,apartemen,,,,Not_Found
Kusuma Chandra,Jakarta Selatan,apartemen,Kapuk Muara,,14460.0,OSM_Success
Grand Dhika Mansion,Jakarta Selatan,apartemen,,,,Not_Found
Bellagio Mansion,Jakarta Selatan,apartemen,Kuningan Timur,,12950.0,OSM_Success
Kalibata City,Jakarta Selatan,apartemen,Rawajati,,,OSM_Success
Anandamaya Residences,Jakarta Selatan,apartemen,,,,Not_Found
The Grove Suites,Jakarta Selatan,apartemen,Karet Kuningan,,,OSM_Success
45 Antasari,Jakarta Selatan,apartemen,Cilandak Barat,,,OSM_Success
Botanica Apartment,Jakarta Selatan,apartemen,,,,Not_Found
Kemang Mansion,Jakarta Selatan,apartemen,,,,Not_Found
The Elements,Jakarta Selatan,apartemen,Karet Kuningan,,12940.0,OSM_Success
Antasari Heights,Jakarta Selatan,apartemen,Cipete Selatan,,12410.0,OSM_Success
The H Tower,Jakarta Selatan,apartemen,Karet Kuningan,,12940.0,OSM_Success
Casablanca,Jakarta Selatan,apartemen,Menteng Dalam,,12960.0,OSM_Success
Taman Rasuna,Jakarta Selatan,apartemen,Menteng Atas,,12960.0,OSM_Success
Taman Sari Sudirman,Jakarta Selatan,apartemen,Karet,,12910.0,OSM_Success
The Empyreal & The Masterpiece,Jakarta Selatan,apartemen,,,,Not_Found
Setiabudi Residences,Jakarta Selatan,apartemen,Karet Kuningan,,12940.0,OSM_Success
Taman Sari Semanggi,Jakarta Selatan,apartemen,,,,Not_Found
Mahata Tanjung Barat,Jakarta Selatan,apartemen,Lenteng Agung,,,OSM_Success
Kemang Jaya,Jakarta Selatan,apartemen,Bangka,,,OSM_Success
Griya Pancoran,Jakarta Selatan,apartemen,,,,Not_Found
Pancoran Riverside,Jakarta Selatan,apartemen,Pengadegan,,13630.0,OSM_Success
Beverly Tower,Jakarta Selatan,apartemen,Cilandak Barat,,12430.0,OSM_Success
Pejaten Park Residence,Jakarta Selatan,apartemen,Ragunan,,,OSM_Success
Kebagusan City,Jakarta Selatan,apartemen,Kebagusan,,,OSM_Success
Casa Grande,Jakarta Selatan,apartemen,Menteng Dalam,,,OSM_Success
Permata Hijau Residences,Jakarta Selatan,apartemen,,,,Not_Found
Pearl Garden,Jakarta Selatan,apartemen,Karet Semanggi,,12930.0,OSM_Success
Linea Haus,Jakarta Selatan,apartemen,,,,Not_Found
Kintamani,Jakarta Selatan,apartemen,Kuningan Timur,,12950.0,OSM_Success
Puri Casablanca,Jakarta Selatan,apartemen,Menteng Atas,,15920.0,OSM_Success
Grand Permata,Jakarta Selatan,apartemen,Grogol Utara,,,OSM_Success
The Mayflower,Jakarta Selatan,apartemen,Setiabudi,,12920.0,OSM_Success
Senopati Suites 2,Jakarta Selatan,apartemen,,,,Not_Found
Senopati Suites 3,Jakarta Selatan,apartemen,,,,Not_Found
Lavande,Jakarta Selatan,apartemen,Menteng Dalam,,12780.0,OSM_Success
Senopati Penthouse,Jakarta Selatan,apartemen,,,,Not_Found
Eminence Darmawangsa,Jakarta Selatan,apartemen,,,,Not_Found
The Batik @ Pejaten,Jakarta Selatan,apartemen,,,,Not_Found
Denpasar Residence,Jakarta Selatan,apartemen,,,,Not_Found
Bumimas,Jakarta Selatan,apartemen,Cilandak Barat,,12420.0,OSM_Success
South Hills,Jakarta Selatan,apartemen,Karet Kuningan,,,OSM_Success
AVANIA,Jakarta Selatan,apartemen,,,,Not_Found
Cervino Village,Jakarta Selatan,apartemen,Tebet Barat,,12860.0,OSM_Success
BonaVista,Jakarta Selatan,apartemen,Lebak Bulus,,12450.0,OSM_Success
La Vie All Suites,Jakarta Selatan,apartemen,,,,Not_Found
Kuningan Place,Jakarta Selatan,apartemen,Menteng Atas,,12970.0,OSM_Success
Cilandak Residence,Jakarta Selatan,apartemen,,,,Not_Found
The Bellevue Suites,Jakarta Selatan,apartemen,,,,Not_Found
One Casablanca,Jakarta Selatan,apartemen,Menteng Dalam,,12870.0,OSM_Success
Gardenia Boulevard,Jakarta Selatan,apartemen,Jati Padang,,12540.0,OSM_Success
Rusun Benhil,Jakarta Pusat,apartemen,Petamburan,,10260.0,OSM_Success
Permata Hijau,Jakarta Selatan,apartemen,Grogol Utara,,12210.0,OSM_Success
Pondok Klub Villa,Jakarta Selatan,apartemen,,,,Not_Found
Kebayoran Icon,Jakarta Selatan,apartemen,Cipulir,,12220.0,OSM_Success
Nifarro Park,Jakarta Selatan,apartemen,Pejaten Timur,,,OSM_Success
Sinabung Executive,Jakarta Selatan,apartemen,,,,Not_Found
Woodland Park Residence,Jakarta Selatan,apartemen,Rawajati,,,OSM_Success
Mangkuluhur City,Jakarta Selatan,apartemen,Karet Semanggi,,12930.0,OSM_Success
The Alana Pejaten,Jakarta Selatan,apartemen,,,,Not_Found
Lebak Lestari Garden,Jakarta Selatan,apartemen,,,,Not_Found
Daksa Residence,Jakarta Selatan,apartemen,,,,Not_Found
Peruri 88,Jakarta Selatan,apartemen,Melawai,,,OSM_Success
LA City,Jakarta Selatan,apartemen,,Tanggamus,35384,OSM_Success_Recovered
Synthesis Residence Kemang,Jakarta Selatan,apartemen,Cilandak Timur,,12550.0,OSM_Success
Marbella Kemang,Jakarta Selatan,apartemen,Pela Mampang,,12720.0,OSM_Success
Vasaka Solterra,Jakarta Selatan,apartemen,Pejaten Barat,,,OSM_Success
Lexington Residence,Jakarta Selatan,apartemen,,,,Not_Found
The Royal Olive Residence,Jakarta Selatan,apartemen,Pejaten Barat,,,OSM_Success
Poins Square,Jakarta Selatan,apartemen,Lebak Bulus,,12440.0,OSM_Success
The 18th Residence Rasuna,Jakarta Selatan,apartemen,,,,Not_Found
The Residence @ Synthesis Square,Jakarta Selatan,apartemen,,,,Not_Found
Gandaria Heights,Jakarta Selatan,apartemen,Kebayoran Lama Utara,,12120.0,OSM_Success
Kemang Village,Jakarta Selatan,apartemen,Bangka,,,OSM_Success
Providence Park,Jakarta Selatan,apartemen,,,,Not_Found
Gayanti City,Jakarta Selatan,apartemen,,,,Not_Found
Pakubuwono Terrace,Jakarta Selatan,apartemen,Cipulir,,12230.0,OSM_Success
Grand Pancoran,Jakarta Selatan,apartemen,,,,Not_Found
Hamptons Park,Jakarta Selatan,apartemen,,,,Not_Found
The Hundred,Jakarta Selatan,apartemen,,,,Not_Found
