name,wilayah,category
Green Pramuka City,Jakarta Pusat,apartemen
Sudirman Park,Jakarta Pusat,apartemen
Semanggi,Jakarta Selatan,apartemen
Batavia,Jakarta Pusat,apartemen
Menteng Park,Jakarta Pusat,apartemen
Elpis Residence,Jakarta Pusat,apartemen
1 @ Cik Ditiro,Jakarta Pusat,apartemen
Kusuma Atmadja Residence,Jakarta Pusat,apartemen
Kimara Residence,Jakarta Pusat,apartemen
The Boulevard,Jakarta Pusat,apartemen
The Royale Springhill Residences,Jakarta Pusat,apartemen
Cik Ditiro Residence,Jakarta Pusat,apartemen
Bandar Kemayoran,Jakarta Pusat,apartemen
Pasar Baru Mansion,Jakarta Pusat,apartemen
Istana Sahid,Jakarta Pusat,apartemen
Mitra Oasis,Jakarta Pusat,apartemen
Executive Menteng,Jakarta Pusat,apartemen
Mediterania Lagoon Residences,Jakarta Pusat,apartemen
Springhill Terrace,Jakarta Pusat,apartemen
Cityloft,Jakarta Selatan,apartemen
Cempaka Mas,Jakarta Pusat,apartemen
Taman Kemayoran Condominium,Jakarta Pusat,apartemen
Mediterania Palace Kemayoran,Jakarta Pusat,apartemen
The Boutique,Jakarta Pusat,apartemen
Cosmo Terrace,Jakarta Pusat,apartemen
Thamrin Nine,Jakarta Pusat,apartemen
Jakarta Residence,Jakarta Pusat,apartemen
Menara Jakarta,Jakarta Pusat,apartemen
Sudirman Tower Condo,Jakarta Selatan,apartemen
Thamrin Residence,Jakarta Pusat,apartemen
Best Western Mangga Dua,Jakarta Pusat,apartemen
Cosmo Park,Jakarta Pusat,apartemen
Sahid Sudirman,Jakarta Selatan,apartemen
Keraton At The Plaza,Jakarta Pusat,apartemen
Salemba Residence,Jakarta Pusat,apartemen
Puri Kemayoran,Jakarta Pusat,apartemen
The Mansion at Dukuh Golf Kemayoran,Jakarta Pusat,apartemen
Mangga Dua Court,Jakarta Pusat,apartemen
Capitol Suites,Jakarta Pusat,apartemen
Grand Kartini,Jakarta Pusat,apartemen
Da Vinci Penthouse,Jakarta Pusat,apartemen
Holland Village,Jakarta Pusat,apartemen
Capitol Park,Jakarta Pusat,apartemen
57 Promenade,Jakarta Pusat,apartemen
Kempinski Grand Indonesia,Jakarta Pusat,apartemen
Menteng Square,Jakarta Pusat,apartemen
Pavilion,Jakarta Pusat,apartemen
T Residence,Jakarta Pusat,apartemen
Le Parc,Jakarta Selatan,apartemen
Amethyst Tower Kemayoran,Jakarta Pusat,apartemen
Senayan City Residence,Jakarta Pusat,apartemen
Thamrin Executive Residence,Jakarta Pusat,apartemen
Casa Domaine,Jakarta Pusat,apartemen
Arandra Residence,Jakarta Pusat,apartemen
Rajawali Condominium,Jakarta Pusat,apartemen
Grand Palace Kemayoran,Jakarta Pusat,apartemen
Sudirman Hill,Jakarta Selatan,apartemen
Springhill Royale Suites,Jakarta Pusat,apartemen
H Residence Kemayoran,Jakarta Pusat,apartemen
Istana Harmoni,Jakarta Pusat,apartemen
Plaza Residence Intercontinental,Jakarta Pusat,apartemen
Sudirman Residences,Jakarta Selatan,apartemen
Sentosa Residences,Jakarta Pusat,apartemen
Sudirman Suites,Jakarta Pusat,apartemen
Ascott Jakarta,Jakarta Pusat,apartemen
Shangri-La Residence,Jakarta Pusat,apartemen
Park Royale,Jakarta Selatan,apartemen
Mediterania Boulevard Kemayoran,Jakarta Pusat,apartemen
Palazzo,Jakarta Pusat,apartemen
1Park Avenue,Jakarta Selatan,apartemen
Casablanca Mansion,Jakarta Selatan,apartemen
Ambassade Residences,Jakarta Selatan,apartemen
Permata Hijau Suites,Jakarta Selatan,apartemen
Pakubuwono Town House,Jakarta Selatan,apartemen
The Foresque Apartment,Jakarta Selatan,apartemen
Pakubuwono Signature,Jakarta Selatan,apartemen
Abode,Jakarta Selatan,apartemen
Cilandak 88 Condominium,Jakarta Selatan,apartemen
The Wave,Jakarta Selatan,apartemen
