WILAYAH,KECAMATAN,NAMA_JALAN
JAKARTA PUSAT,TANAH ABANG,JL. ADMINISTRASI
JAKARTA PUSAT,TANAH ABANG,JL. ARTERI PEJOMPONGAN
JAKARTA PUSAT,TANAH ABANG,JL. ASIA AFRIKA/PINTU IX
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR RAYA
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR II
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR III
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR IV
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR IX
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR V
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR VI
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR VII
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR VIII
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR X
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR XI
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR XII
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR XIII
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN HILIR XIV
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN JATI LUHUR
JAKARTA PUSAT,TANAH ABANG,JL. DANAU DI ATAS
JAKARTA PUSAT,TANAH ABANG,JL. DANAU DI BAWAH
JAKARTA PUSAT,TANAH ABANG,JL. DANAU LIMBOTO
JAKARTA PUSAT,TANAH ABANG,JL. DANAU TONDANO
JAKARTA PUSAT,TANAH ABANG,JL. GELORA
JAKARTA PUSAT,TANAH ABANG,JL. GERBANG PEMUDA
JAKARTA PUSAT,TANAH ABANG,JL. GG. LONTAR
JAKARTA PUSAT,TANAH ABANG,JL. HANG LEKIR
JAKARTA PUSAT,TANAH ABANG,JL. INSPEKSI/KARET PS BARU TIMUR
JAKARTA PUSAT,TANAH ABANG,JL. JATI BARU
JAKARTA PUSAT,TANAH ABANG,JL. JEMBATAN TINGGI
JAKARTA PUSAT,TANAH ABANG,JL. JEND. GATOT SUBROTO
JAKARTA PUSAT,TANAH ABANG,JL. JEND. SUDIRMAN
JAKARTA PUSAT,TANAH ABANG,JL. KAMPUNG BALI
JAKARTA PUSAT,TANAH ABANG,JL. KARET PASAR BARU BARAT
JAKARTA PUSAT,TANAH ABANG,JL. KEBON JATI
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG II
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG III
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG IV
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG IX
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG RAYA
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG V
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG VI
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG VII
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG VIII
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG X
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG XI
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG XII
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG XIII
JAKARTA PUSAT,TANAH ABANG,JL. KH. FACHRUDDIN
JAKARTA PUSAT,TANAH ABANG,JL. KH. MAS MANSYUR
JAKARTA PUSAT,TANAH ABANG,JL. KOTA BUMI
JAKARTA PUSAT,TANAH ABANG,JL. KS. TUBUN
JAKARTA PUSAT,TANAH ABANG,JL. LAPANGAN TEMBAK
JAKARTA PUSAT,TANAH ABANG,JL. MANILA
JAKARTA PUSAT,TANAH ABANG,JL. NEW DELHI
JAKARTA PUSAT,TANAH ABANG,JL. PALMERAH BARAT
JAKARTA PUSAT,TANAH ABANG,JL. PALMERAH TIMUR
JAKARTA PUSAT,TANAH ABANG,JL. PALMERAH UTARA
JAKARTA PUSAT,TANAH ABANG,JL. PAM BARU
JAKARTA PUSAT,TANAH ABANG,JL. PAM LAMA
JAKARTA PUSAT,TANAH ABANG,JL. AREA GBK
JAKARTA PUSAT,TANAH ABANG,JL. PASAR KEBON MELATI
JAKARTA PUSAT,TANAH ABANG,JL. PASAR TANAH ABANG
JAKARTA PUSAT,TANAH ABANG,JL. PEJOMPONGAN RAYA
JAKARTA PUSAT,TANAH ABANG,JL. PEJOMPONGAN DALAM
JAKARTA PUSAT,TANAH ABANG,JL. PENJERNIHAN
JAKARTA PUSAT,TANAH ABANG,JL. PETAMBURAN
JAKARTA PUSAT,TANAH ABANG,JL. PETAMBURAN II
JAKARTA PUSAT,TANAH ABANG,JL. PETAMBURAN III
JAKARTA PUSAT,TANAH ABANG,JL. PETAMBURAN IV
JAKARTA PUSAT,TANAH ABANG,JL. PETAMBURAN V
JAKARTA PUSAT,TANAH ABANG,JL. PETAMBURAN VI
JAKARTA PUSAT,TANAH ABANG,JL. PETAMBURAN VII
JAKARTA PUSAT,TANAH ABANG,JL. PINTU I SENAYAN
JAKARTA PUSAT,TANAH ABANG,JL. PLAJU
JAKARTA PUSAT,TANAH ABANG,JL. SUNGAI GERONG
JAKARTA PUSAT,TANAH ABANG,JL. TALANG BETUTU
JAKARTA PUSAT,TANAH ABANG,JL. TAMAN BENDUNGAN ASAHAN
JAKARTA PUSAT,TANAH ABANG,JL. TANAH ABANG BUKIT
JAKARTA PUSAT,TANAH ABANG,JL. TELUK BETUNG
JAKARTA PUSAT,TANAH ABANG,JL. M. H. THAMRIN
JAKARTA PUSAT,TANAH ABANG,JL. TAMAN KEBON SIRIH
JAKARTA PUSAT,TANAH ABANG,JL. KH. WAHID HASYIM
JAKARTA PUSAT,TANAH ABANG,JL. TANJUNG KARANG
JAKARTA PUSAT,TANAH ABANG,JL. THAMRIN BOULEVARD
JAKARTA PUSAT,TANAH ABANG,JL. PENJERNIHAN II
JAKARTA PUSAT,TANAH ABANG,JL. BENDUNGAN WALAHAR
JAKARTA PUSAT,TANAH ABANG,JL. DANAU POSO
JAKARTA PUSAT,TANAH ABANG,JL. DANAU TOBA
JAKARTA PUSAT,TANAH ABANG,JL. H. ABDUL JALIL
JAKARTA PUSAT,TANAH ABANG,JL. KARET PASAR BARU TIMUR III
JAKARTA PUSAT,TANAH ABANG,JL. KARET PASAR BARU TIMUR V
JAKARTA PUSAT,TANAH ABANG,JL. MUTIARA/JL. KARET PASAR BARU BRT 1
JAKARTA PUSAT,TANAH ABANG,JL. KEBON KACANG XXX
JAKARTA PUSAT,MENTENG,JL. BLORA
