Nama Gedung / Lokasi,Wilayah Jakarta
Monumen Selamat Datang,Jakarta Pusat
Hotel Indonesia,Jakarta Pusat
The Westin,Jakarta Selatan
Wisma Arthaloka,Jakarta Pusat
Wisma Kyoei Prince,Jakarta Pusat
Wisma Prince Center,Jakarta Pusat
Wisma Nugraha Santana,Jakarta Pusat
Mid Plaza,Jakarta Selatan
Da Vinci Tower,Jakarta Pusat
Hotel Sahid Jakarta,Jakarta Selatan
Le Meridien Hotel,Jakarta Selatan
Wisma Dharmala Sakti,Jakarta Selatan
Wisma Sudirman,Jakarta Selatan
Gedung BRI I,Jakarta Pusat
Gedung BRI II,Jakarta Pusat
Wisma GKBI,Jakarta Pusat
Hotel Sultan,Jakarta Pusat
Gelora Bung Karno,Jakarta Pusat
Sudirman Palace,Jakarta Selatan
Depdiknas (Kemendikbud),Jakarta Selatan
Ratu Plaza,Jakarta Selatan
Panin Bank Center,Jakarta Selatan
Thamrin City,Jakarta Pusat
Thamrin Executive Residences,Jakarta Pusat
Thamrin Residences,Jakarta Pusat
Cosmo Mansion,Jakarta Pusat
Jakarta Residences,Jakarta Pusat
Cosmo Terrace,Jakarta Pusat
Hotel Mandarin Oriental,Jakarta Pusat
BBD Plaza,Jakarta Pusat
Stasiun Dukuh Atas,Jakarta Selatan
Landmark Towers,Jakarta Selatan
Wisma Indocement,Jakarta Selatan
Wisma Bumiputera,Jakarta Selatan
Chase Plaza,Jakarta Selatan
Wisma Tamara,Jakarta Selatan
Wisma BCA,Jakarta Pusat
Plaza Lippo,Jakarta Selatan
Plaza DM,Jakarta Selatan
Sona Topas Tower,Jakarta Selatan
Mayapada Tower,Jakarta Selatan
Wisma Metropolitan 1,Jakarta Pusat
Wisma Metropolitan 2,Jakarta Pusat
World Trade Center Jakarta,Jakarta Selatan
Sampoerna Strategic Square,Jakarta Selatan
Plaza Sentral,Jakarta Selatan
Rumah Sakit Jakarta,Jakarta Pusat
Universitas Kristen Atma Jaya,Jakarta Selatan
Plaza Semanggi,Jakarta Selatan
Balai Sarbini,Jakarta Selatan
Jembatan Semanggi,Jakarta Selatan
Polda Metro Jaya,Jakarta Selatan
Jakarta Stock Exchange,Jakarta Selatan
Plaza Bapindo,Jakarta Selatan
Graha Niaga,Jakarta Selatan
Plaza ABDA,Jakarta Selatan
Menara Sudirman,Jakarta Selatan
Summitmas,Jakarta Selatan
Sudirman Plaza,Jakarta Selatan
Bank Indonesia,Jakarta Pusat
Departemen Energi dan Sumber Daya Mineral(ESDM),Jakarta Pusat
Departemen Agama Republik Indonesia,Jakarta Pusat
Bank Rama,Jakarta Pusat
Badan Perencanaan dan Penerapan Teknologi(BPPT),Jakarta Pusat
Bank Bangkok,Jakarta Pusat
Menara Thamrin Bank Mandiri Syariah,Jakarta Pusat
Gedung Jaya,Jakarta Pusat
Hotel Sari Pan Pacific,Jakarta Pusat
Badan Pengawas Pemilihan Umum(Bawaslu),Jakarta Pusat
Menara Cakrawala,Jakarta Pusat
Menara Eksekutif,Jakarta Pusat
Gedung Sarinah,Jakarta Pusat
Thamrin Office Park,Jakarta Pusat
Kedutaan besar Prancis,Jakarta Pusat
EX Plaza,Jakarta Pusat
Plaza BII,Jakarta Pusat
Kedutaan besar Jepang,Jakarta Pusat
Kedutaan besar Korea Selatan,Jakarta Pusat
Wisma Kosgoro,Jakarta Pusat
The Kraton Tower,Jakarta Pusat
Oil Center Jakarta,Jakarta Pusat
The Plaza Tower,Jakarta Pusat
Plaza Permata,Jakarta Pusat
Plaza Indonesia,Jakarta Pusat
Grand Hyatt Jakarta,Jakarta Pusat
Hotel Nikko,Jakarta Pusat
Grand Indonesia Shopping Town,Jakarta Pusat
Kempinski Residence,Jakarta Pusat
Wisma Nusantara,Jakarta Pusat
Menara BCA,Jakarta Pusat
Kedutaan besar Inggris,Jakarta Pusat
UOB Plaza,Jakarta Pusat
Deutsche Bank,Jakarta Pusat
The Thamrin Nine,Jakarta Pusat
Kedutaan besar Jerman,Jakarta Pusat
The City Tower,Jakarta Pusat
Gedung Manggala Wanabakti,Jakarta Pusat
Kementerian Kehutanan Republik Indonesia,Jakarta Pusat
DPR/MPR,Jakarta Pusat
Jakarta Convention Center,Jakarta Pusat
Plaza Mandiri,Jakarta Selatan
Direktorat Jenderal Pajak,Jakarta Pusat
