Nama Gedung,Wilayah Jakarta
Autograph Tower,Jakarta Pusat
Luminary Tower,Jakarta Pusat
Gama Tower,Jakarta Selatan
Azure Tower,Jakarta Selatan
Treasury Tower,Jakarta Selatan
Trinity Tower,Jakarta Selatan
Gedung Mori,Jakarta Pusat
Wisma 46,Jakarta Pusat
Menara Astra,Jakarta Pusat
Millenium Office Tower,Jakarta Pusat
Equinox Tower,Jakarta Selatan
Revenue Tower,Jakarta Selatan
Raffles Jakarta,Jakarta Selatan
The Pakubuwono Signature,Jakarta Selatan
World Capital Tower,Jakarta Selatan
St Regis Hotel and Residence,Jakarta Selatan
Sahid Sudirman Center,Jakarta Pusat
Sinarmas MSIG Tower,Jakarta Selatan
Menara BCA,Jakarta Pusat
Casa Domaine Tower 1,Jakarta Selatan
Menara Kompas III,Jakarta Barat
Keraton at The Plaza,Jakarta Pusat
Mangkuluhur City Apartment Tower A,Jakarta Selatan
Menara BTPN,Jakarta Selatan
Telkom Landmark Tower 2,Jakarta Selatan
Equity Tower,Jakarta Selatan
The Peak 1,Jakarta Selatan
The Peak 2,Jakarta Selatan
Denpasar Residence 1,Jakarta Selatan
Denpasar Residence 2,Jakarta Selatan
Capital Place Office Tower,Jakarta Selatan
The Energy Tower,Jakarta Selatan
Kempinski Residences,Jakarta Pusat
Bakrie Tower,Jakarta Selatan
International Financial Centre Tower 2,Jakarta Selatan
The Pinnacle,Jakarta Pusat
Ritz-Carlton Jakarta Tower A,Jakarta Selatan
Ritz-Carlton Jakarta Tower B,Jakarta Selatan
The Tower,Jakarta Selatan
PCPD Tower,Jakarta Pusat
My Home & Ascott Apartment,Jakarta Pusat
Sequis Centre Tower,Jakarta Selatan
Casa Domaine Tower 2,Jakarta Selatan
WTC 3,Jakarta Selatan
SeaView Condominium Tower J,Jakarta Utara
SeaView Condominium Tower K,Jakarta Utara
SeaView Condominium Tower L,Jakarta Utara
SeaView Condominium Tower M,Jakarta Utara
The City Center Batavia,Jakarta Pusat
The Plaza Office Tower,Jakarta Pusat
Residence 8 @ Senopati Tower A,Jakarta Selatan
Tokopedia Tower,Jakarta Selatan
Residence 8 @ Senopati Tower B,Jakarta Selatan
Eternity Tower,Jakarta Selatan
Infinity Tower,Jakarta Selatan
Axa Tower Jakarta,Jakarta Selatan
Neo SOHO,Jakarta Barat
SOHO Capital,Jakarta Barat
West Vista Puri,Jakarta Barat
Chitaland Tower,Jakarta Barat
Wisma Mulia,Jakarta Selatan
UOB Plaza,Jakarta Pusat
DBS Tower,Jakarta Pusat
Anandamaya Residences 1,Jakarta Pusat
One Pacific Place,Jakarta Selatan
MNC Media Tower,Jakarta Pusat
Central Park Apartment Tower 1,Jakarta Barat
Thamrin Executive Residence,Jakarta Pusat
Menara Palma 2,Jakarta Selatan
Pacific Place Residences East Tower,Jakarta Selatan
Pacific Place Residences West Tower,Jakarta Selatan
The St Moritz Presidential Suite Tower 1,Jakarta Barat
Anandamaya Residences 2,Jakarta Pusat
Anandamaya Residences 3,Jakarta Pusat
The Orchard Satrio,Jakarta Selatan
The Residence Satrio,Jakarta Selatan
Menara Kadin Indonesia,Jakarta Selatan
Central Park Office Tower,Jakarta Barat
Botanica Apartment II & III,Jakarta Selatan
The St Moritz Presidential Suite Tower 2,Jakarta Barat
The Cosmopolitan Tower,Jakarta Selatan
The Bloomington,Jakarta Selatan
The Tiffany,Jakarta Selatan
Sky Tower,Jakarta Selatan
Aston Hotel Jakarta 1,Jakarta Pusat
Ancol Mansion 1,Jakarta Utara
Ancol Mansion 2,Jakarta Utara
Sopo Del Tower A,Jakarta Selatan
Centennial Tower,Jakarta Selatan
City Lofts,Jakarta Pusat
AIA Central,Jakarta Pusat
The Grove Tower 1,Jakarta Selatan
Office 8,Jakarta Selatan
Plaza BII Tower II,Jakarta Pusat
World Trade Center Tower II,Jakarta Selatan
Botanica Apartment Tower I,Jakarta Selatan
Lacewood Tower,Jakarta Selatan
The St Moritz Office Tower 1,Jakarta Barat
Sudirman Square Tower A,Jakarta Selatan
Cyber 2 Tower,Jakarta Selatan
Indofood Tower,Jakarta Pusat
Mid Plaza Hotel Tower,Jakarta Pusat
Menara BRI Gatot Subroto,Jakarta Selatan
Mangkuluhur City Office Tower One,Jakarta Selatan
Taman Anggrek (I–VIII),Jakarta Barat
Menara BNI,Jakarta Pusat
Dukuh Golf Apartment Tower (1–4),Jakarta Timur
Kemayoran Office Tower (1–3),Jakarta Pusat
Royal Springfield Residence (5–6),Jakarta Barat
Lotus,Jakarta Barat
Lavender,Jakarta Barat
Magnolia,Jakarta Barat
Marygold,Jakarta Barat
Aston Hotel Jakarta II,Jakarta Pusat
ITC Kuningan,Jakarta Selatan
The City Tower,Jakarta Pusat
Fairmont Hotel,Jakarta Pusat
Multivision Tower,Jakarta Selatan
