Nama Komplek,Wilayah Jakarta
Alam Lestari,Jakarta Pusat
Asrama Brimob Jatinegara Kaum,Jakarta Timur
Asrama Polisi Pesing,Jakarta Barat
Asrama Zeni TNI AD Lubang Buaya,Jakarta Timur
B21 Jl. Vila,Jakarta Selatan
Bali Village,Jakarta Selatan
Billy & Moon,Jakarta Timur
Buaran Regency,Jakarta Timur
Buaran Regensi,Jakarta Timur
Bukit Duri Permai,Jakarta Timur
Bukit Gading Mediterania,Jakarta Utara
Bukit Gading Villa,Jakarta Utara
Bukit Golf,Jakarta Utara
Bukit Golf Mediterania PIK,Jakarta Utara
Bukit Golf Pondok Indah,Jakarta Selatan
Bukit Inkai,Jakarta Selatan
Bukit Pratama,Jakarta Selatan
Bumi Cengkareng Permai,Jakarta Barat
Bumi Harapan Permai,Jakarta Timur
Bumi Harum Manis,Jakarta Selatan
Bumi Kemanggisan Indah,Jakarta Barat
Bumi Malaka Asri,Jakarta Timur
Bumi Pesanggrahan Mas,Jakarta Selatan
Buncit Town House,Jakarta Selatan
Casamora,Jakarta Selatan
Cengkareng Residence,Jakarta Barat
Cilandak Permai,Jakarta Selatan
Cilandak Town House,Jakarta Selatan
Cipinang Indah,Jakarta Timur
Cipinang Indah 2,Jakarta Timur
Citra Garden 1,Jakarta Barat
Citra Garden 2,Jakarta Barat
Citra Garden 3,Jakarta Barat
Citra Garden 5,Jakarta Barat
Daan Mogot Estate,Jakarta Barat
Damai Town House,Jakarta Timur
De Oaze Tomang Residence,Jakarta Barat
Duri Besar,Jakarta Barat
Duta Harapan Indah,Jakarta Utara
Flat Rumah Dinas Bank Indonesia,Jakarta Selatan
Gading Eight Residence,Jakarta Utara
Gading Grande Residences,Jakarta Utara
Gading Griya Lestari,Jakarta Utara
Gading Kusuma,Jakarta Utara
Gading Nirwana,Jakarta Utara
Gading Park View,Jakarta Utara
Gading Riviera,Jakarta Utara
Gedong Asri,Jakarta Timur
Grand Matoa,Jakarta Selatan
Green Garden,Jakarta Barat
Green Garden Rorotan,Jakarta Utara
Green Garden Town House,Jakarta Barat
Green Park,Jakarta Timur
Griya Aquila,Jakarta Selatan
Griya Sunter Pratama,Jakarta Utara
