Nama Museum,Kabupaten/Kota
Art: 1 New Museum,Jakarta Pusat
Bayt Al-Qurâ€™an dan Museum Istiqlal,Jakarta Timur
Galeri Foto Jurnalistik Antara,Jakarta Pusat
Galeri Nasional Indonesia,Jakarta Pusat
Monumen Nasional dan Museum Sejarah Nasional,Jakarta Pusat
Monumen Pancasila Sakti,Jakarta Timur
Museum Alkitab,Jakarta Pusat
Museum Al-Qurâ€™an,Jakarta Selatan
Museum Anatomi Universitas Katolik Atmajaya,Jakarta Utara
Museum Arkeologi Onrust,Kepulauan Seribu
Museum Asmat,Jakarta Timur
Museum Bahari,Jakarta Utara
Museum Bank Indonesia,Jakarta Barat
Museum Bank Tabungan Negara,Jakarta Barat
Museum Basoeki Abdullah,Jakarta Selatan
Museum Batik Indonesia,Jakarta Timur
Museum Benda-Benda Alkitab Yerushalayim,Jakarta Utara
Museum Betawi,Jakarta Selatan
Museum BNI 1946,Jakarta Barat
Museum Ciputra Artpreneur,Jakarta Selatan
Museum Dharma Bhakti Kostrad,Jakarta Pusat
Museum di Tengah Kebun,Jakarta Selatan
Museum DPR RI,Jakarta Pusat
Museum Fauna Indonesia â€œKomodoâ€ dan Taman Reptilia,Jakarta Timur
Museum FKUI-Indonesia Museum of Health and Medicine,Jakarta Pusat
Museum Graha Widya Patra (Minyak dan Gas Bumi),Jakarta Timur
Museum Hakka Indonesia,Jakarta Timur
Museum Harry Darsono,Jakarta Selatan
Museum Indonesia,Jakarta Timur
Museum Jenderal Besar Dr. A.H. Nasution,Jakarta Pusat
Museum Joang â€˜45,Jakarta Pusat
Museum Katedral,Jakarta Pusat
Museum Kebangkitan Nasional,Jakarta Pusat
Museum Kehutanan â€œIr. Djamaludin Suryohadikusumoâ€,Jakarta Pusat
Museum Keprajuritan,Jakarta Timur
Museum Korps Marinir Jakarta,Jakarta Pusat
Museum Layang-Layang,Jakarta Selatan
Museum Listrik dan Energi Baru,Jakarta Timur
Museum MACAN (Modern and Contemporary Art in Nusantara),Jakarta Barat
Museum Mandiri,Jakarta Barat
Museum Maritim Indonesia,Jakarta Utara
Museum M.H. Thamrin,Jakarta Pusat
Museum Nasional Indonesia,Jakarta Pusat
Museum Olahraga Nasional,Jakarta Timur
Museum Pemadam Kebakaran,Jakarta Timur
Museum Penerangan,Jakarta Timur
Museum Perumusan Naskah Proklamasi,Jakarta Pusat
Museum POLRI,Jakarta Selatan
Museum Prangko,Jakarta Timur
Museum Prasasti,Jakarta Pusat
Museum Purna Bhakti Pertiwi,Jakarta Timur
Museum Pusaka,Jakarta Timur
Museum Santa Maria Juanda,Jakarta Pusat
Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,Jakarta Pusat
Museum Satria Mandala,Jakarta Selatan
Museum Sejarah Jakarta (Museum Fatahillah),Jakarta Barat
Museum Seni Rupa dan Keramik,Jakarta Barat
Museum Serangga,Jakarta Timur
Museum Sumpah Pemuda,Jakarta Pusat
Museum Tekstil,Jakarta Barat
Museum Timor Timur,Jakarta Timur
Museum Tragedi 12 Mei â€™98 Universitas Trisakti,Jakarta Barat
Museum Transportasi,Jakarta Timur
Museum Wayang,Jakarta Barat
Pusat Peragaan IPTEK,Jakarta Timur
Museum Benyamin Suaeb,Jakarta Timur
Museum Pencak Silat,Jakarta Timur
Museum Reksa Artha,Jakarta Selatan
Diorama Sejarah Perjalanan Bangsa,Jakarta Selatan
Museum Waspada Purbawisesa,Jakarta Selatan
Museum Anti Narkotika Pranidha Ranajaya Ghanavara,Jakarta Timur
Toeti Heraty Museum (Cemara 6 Galeri),Jakarta Pusat
Roemah Toegoe,Jakarta Utara
Magic Art 3D Museum Jakarta,Jakarta Barat
Galeria Sophilia Fine Art Center,Jakarta Utara
