nama_rumah_sakit,
RSUD Cengkareng,Jakarta Barat
RSUD Kembangan,Jakarta Barat
RSUD Kalideres,Jakarta Barat
RSUD Taman Sari,Jakarta Barat
RS Cendana,Jakarta Barat
RS Ciputra Citragarden,Jakarta Barat
RS Dharmais,Jakarta Barat
RS dr. Soeharto Heerjan,Jakarta Barat
RS Hermina Daan Mogot,Jakarta Barat
RS Jakarta Eye Center Kedoya,Jakarta Barat
RS Mitra Keluarga Kalideres,Jakarta Barat
RS Pelni Petamburan,Jakarta Barat
RS Pendidikan Ukrida,Jakarta Barat
RS Siloam Kebon Jeruk,Jakarta Barat
RS Anggrek Mas,Jakarta Barat
RSIA Aries,Jakarta Barat
RSIA Harapan Kita,Jakarta Barat
RSIA Ibnu Sina,Jakarta Barat
RSIA Metro Hospitals Kebon Jeruk,Jakarta Barat
RSU Bhakti Mulia,Jakarta Barat
RSU Graha Kedoya,Jakarta Barat
RSU Manuela,Jakarta Barat
RSU Medika Permata Hijau,Jakarta Barat
RSU Patria Jakarta,Jakarta Barat
RSU Pondok Indah â€“ Puri Indah,Jakarta Barat
RSU Puri Mandiri Kedoya,Jakarta Barat
RSU Royal Taruma,Jakarta Barat
RSU Sumber Waras,Jakarta Barat
RSUD Cempakaputih,Jakarta Pusat
RSUD Joharbaru,Jakarta Pusat
RSUD Kemayoran,Jakarta Pusat
RSUD Sawahbesar,Jakarta Pusat
RSUD Tanahabang,Jakarta Pusat
RSUD Tarakan Jakarta,Jakarta Pusat
RSAL dr. Mintohardjo,Jakarta Pusat
RS Abdi Waluyo,Jakarta Pusat
RS Bina Estetika,Jakarta Pusat
RS Dharma Jaya,Jakarta Pusat
RS Dharma Sakti,Jakarta Pusat
RS FKG Universitas Indonesia,Jakarta Pusat
RS Hermina Kemayoran,Jakarta Pusat
RS Husada,Jakarta Pusat
RS Islam Jakarta,Jakarta Pusat
RS Jakarta Eye Center Menteng,Jakarta Pusat
RS Kramat Lima,Jakarta Pusat
RS Kramat 128,Jakarta Pusat
RS Menteng Mitra Afia,Jakarta Pusat
RS Mitra Keluarga Kemayoran,Jakarta Pusat
RS Murni Teguh Sudirman,Jakarta Pusat
RS Panti Raharja,Jakarta Pusat
RS Pertamina Jaya,Jakarta Pusat
RS Primaya PGI Cikini,Jakarta Pusat
RS Primaya Evasari,Jakarta Pusat
RS Prof. dr. Nizar,Jakarta Pusat
RS Proklamasi,Jakarta Pusat
RS Radjak Salemba,Jakarta Pusat
RS RE. Martadinata,Jakarta Pusat
RS Sahid Sahirman,Jakarta Pusat
RS Salemba Satu,Jakarta Pusat
RS Sint Carolus,Jakarta Pusat
RS Yarsi Jakarta,Jakarta Pusat
RSIA Angkasa,Jakarta Pusat
RSIA Berkat Ibu,Jakarta Pusat
RSIA Budi Kemuliaan,Jakarta Pusat
RSIA Bunda Jakarta,Jakarta Pusat
RSIA Tambak,Jakarta Pusat
RSIA YPK Mandiri,Jakarta Pusat
RSPAD Gatot Soebroto,Jakarta Pusat
RSUPN dr. Cipto Mangunkusumo,Jakarta Pusat
RSUD Jagakarsa,Jakarta Selatan
RSUD Jati Padang,Jakarta Selatan
RSUD Kebayoran Baru,Jakarta Selatan
RSUD Kebayoran Lama,Jakarta Selatan
RSUD Mampang Prapatan,Jakarta Selatan
RSUD Pasar Minggu,Jakarta Selatan
RSUD Pesanggrahan,Jakarta Selatan
RSUD Tebet,Jakarta Selatan
RS Agung,Jakarta Selatan
RS Ali Sibroh Malisi,Jakarta Selatan
RS Aulia Jakarta,Jakarta Selatan
RS Avisena,Jakarta Selatan
