Nama Sekolah,Wilayah Jakarta
SMA Negeri 1,Jakarta Pusat
SMA Negeri 2,Jakarta Pusat
SMA Negeri 3,Jakarta Selatan
SMA Negeri 4,Jakarta Pusat
SMA Negeri 5,Jakarta Pusat
SMA Negeri 6,Jakarta Selatan
SMA Negeri 7,Jakarta Selatan
SMA Negeri 8,Jakarta Selatan
SMA Negeri 9,Jakarta Timur
SMA Negeri 10,Jakarta Pusat
SMA Negeri 11,Jakarta Timur
SMA Negeri 12,Jakarta Timur
SMA Negeri 13,Jakarta Utara
SMA Negeri 14,Jakarta Timur
SMA Negeri 15,Jakarta Utara
SMA Negeri 16,Jakarta Barat
SMA Negeri 17,Jakarta Barat
SMA Negeri 18,Jakarta Utara
SMA Negeri 19,Jakarta Barat
SMA Negeri 20,Jakarta Pusat
SMA Negeri 21,Jakarta Timur
SMA Negeri 22,Jakarta Timur
SMA Negeri 23,Jakarta Barat
SMA Negeri 24,Jakarta Pusat
SMA Negeri 25,Jakarta Pusat
SMA Negeri 26,Jakarta Selatan
SMA Negeri 27,Jakarta Pusat
SMA Negeri 28,Jakarta Selatan
SMA Negeri 29,Jakarta Selatan
SMA Negeri 30,Jakarta Pusat
SMA Negeri 31,Jakarta Timur
SMA Negeri 32,Jakarta Selatan
SMA Negeri 33,Jakarta Barat
SMA Negeri 34,Jakarta Selatan
SMA Negeri 35,Jakarta Pusat
SMA Negeri 36,Jakarta Timur
SMA Negeri 37,Jakarta Selatan
SMA Negeri 38,Jakarta Selatan
SMA Negeri 39,Jakarta Timur
SMA Negeri 40,Jakarta Utara
SMA Negeri 41,Jakarta Utara
SMA Negeri 42,Jakarta Timur
SMA Negeri 43,Jakarta Selatan
SMA Negeri 44,Jakarta Timur
SMA Negeri 45,Jakarta Utara
SMA Negeri 46,Jakarta Selatan
SMA Negeri 47,Jakarta Selatan
SMA Negeri 48,Jakarta Timur
SMA Negeri 49,Jakarta Selatan
SMA Negeri 50,Jakarta Timur
SMA Negeri 51,Jakarta Timur
SMA Negeri 52,Jakarta Utara
SMA Negeri 53,Jakarta Timur
SMA Negeri 54,Jakarta Timur
SMA Negeri 55,Jakarta Selatan
SMA Negeri 56,Jakarta Barat
SMA Negeri 57,Jakarta Barat
SMA Negeri 58,Jakarta Timur
SMA Negeri 59,Jakarta Timur
SMA Negeri 60,Jakarta Selatan
SMA Negeri 61,Jakarta Timur
SMA Negeri 62,Jakarta Timur
SMA Negeri 63,Jakarta Selatan
SMA Negeri 64,Jakarta Timur
SMA Negeri 65,Jakarta Barat
SMA Negeri 66,Jakarta Selatan
SMA Negeri 67,Jakarta Timur
SMA Negeri 68,Jakarta Pusat
SMA Negeri 69,Kepulauan Seribu
SMA Negeri 70,Jakarta Selatan
SMA Negeri 71,Jakarta Timur
SMA Negeri 72,Jakarta Utara
SMA Negeri 73,Jakarta Utara
SMA Negeri 74,Jakarta Selatan
SMA Negeri 75,Jakarta Utara
SMA Negeri 76,Jakarta Timur
SMA Negeri 77,Jakarta Pusat
SMA Negeri 78,Jakarta Barat
SMA Negeri 79,Jakarta Selatan
SMA Negeri 80,Jakarta Utara
SMA Negeri 81,Jakarta Timur
SMA Negeri 82,Jakarta Selatan
SMA Negeri 83,Jakarta Utara
SMA Negeri 84,Jakarta Barat
SMA Negeri 85,Jakarta Barat
SMA Negeri 86,Jakarta Selatan
SMA Negeri 87,Jakarta Selatan
SMA Negeri 88,Jakarta Timur
SMA Negeri 89,Jakarta Timur
SMA Negeri 90,Jakarta Selatan
SMA Negeri 91,Jakarta Timur
SMA Negeri 92,Jakarta Utara
SMA Negeri 93,Jakarta Timur
SMA Negeri 94,Jakarta Barat
SMA Negeri 95,Jakarta Barat
SMA Negeri 96,Jakarta Barat
SMA Negeri 97,Jakarta Selatan
SMA Negeri 98,Jakarta Timur
SMA Negeri 99,Jakarta Timur
SMA Negeri 100,Jakarta Timur
SMA Negeri 101,Jakarta Barat
SMA Negeri 102,Jakarta Timur
SMA Negeri 103,Jakarta Timur
SMA Negeri 104,Jakarta Timur
SMA Negeri 105,Jakarta Timur
SMA Negeri 106,Jakarta Timur
SMA Negeri 107,Jakarta Timur
SMA Negeri 108,Jakarta Selatan
SMA Negeri 109,Jakarta Selatan
SMA Negeri 110,Jakarta Utara
SMA Negeri 111,Jakarta Utara
SMA Negeri 112,Jakarta Barat
SMA Negeri 113,Jakarta Timur
SMA Negeri 114,Jakarta Utara
SMA Negeri 115,Jakarta Utara
SMA Negeri 116,Jakarta Selatan
SMA Negeri 117,Jakarta Pusat
SMA Negeri Ragunan,Jakarta Selatan
SRMA 9 Jakarta Timur,Jakarta Timur
SRMA 10 Jakarta Selatan,Jakarta Selatan
SMA Negeri Unggulan M.H. Thamrin,Jakarta Timur
SMA Advent 1 Jakarta,Jakarta Pusat
SMA Advent Salemba,Jakarta Pusat
Sma At Taqwa Jakarta,Jakarta Pusat
SMA Budi Mulia,Jakarta Pusat
SMA Bunda Mulia Jakarta,Jakarta Pusat
SMA Dwi Saka Jakarta,Jakarta Pusat
SMA Fransiskus 1 Jakarta,Jakarta Pusat
SMA Hati Suci,Jakarta Pusat
SMA Islam Al Jihad Jakarta,Jakarta Pusat
SMA Islam Said Na'um Jakarta,Jakarta Pusat
SMA Kanisius Jakarta,Jakarta Pusat
SMA Kartini 1 Jakarta,Jakarta Pusat
SMA Kristen 2 BPK Penabur,Jakarta Pusat
SMA Kristen 3 Penabur,Jakarta Pusat
SMA Kristen Bethel,Jakarta Pusat
SMA Kristen Kanaan Jakarta,Jakarta Pusat
SMA Kristen Karunia Jakarta,Jakarta Pusat
SMA Kristen Ketapang 1 Jakarta,Jakarta Pusat
SMA Kristen Saint John,Jakarta Pusat
SMA Muhammadiyah 1 Jakarta,Jakarta Pusat
SMA Muhammadiyah 2 Jakarta,Jakarta Pusat
SMA Muhammadiyah 14 Jakarta,Jakarta Pusat
SMA Muhammadiyah 16 Jakarta,Jakarta Pusat
SMA Paskalis,Jakarta Pusat
SMA Perguruan Ksatrya,Jakarta Pusat
SMA Perguruan Nasional Jakarta,Jakarta Pusat
SMA PSKD 1 Jakarta,Jakarta Pusat
SMA PSKD 3 Jakarta,Jakarta Pusat
SMA Santa Theresia,Jakarta Pusat
SMA Santa Ursula,Jakarta Pusat
SMA Santo Bellarminus,Jakarta Pusat
SMA Santo Paulus Jakarta,Jakarta Pusat
SMA Sunda Kelapa Jakarta,Jakarta Pusat
SMA Taman Madya 5 Jakarta,Jakarta Pusat
SMA Taman Madya I Jakarta,Jakarta Pusat
SMA Tarsisius 1 Jakarta,Jakarta Pusat
SMA Triwibawa Jakarta,Jakarta Pusat
SMA Yapermas Jakarta,Jakarta Pusat
Smas YP IPPI Petojo Jakarta,Jakarta Pusat
SMA Al Jihad Jakarta,Jakarta Utara
SMA Al Khairiyah Jakarta,Jakarta Utara
SMA Al Muhajirin Jakarta,Jakarta Utara
SMA Bina Maju Bangsa,Jakarta Utara
SMA Buana Siswa,Jakarta Utara
SMA Budi Agung,Jakarta Utara
SMA Bukit Mulia,Jakarta Utara
SMA Bunga Hati Bangsa,Jakarta Utara
SMA Cahaya Kudus Jakarta,Jakarta Utara
SMA Chandra Kusuma Jakarta,Jakarta Utara
SMA Darma Satria Persada,Jakarta Utara
SMA Dharma Budhi Bhakti Jakarta,Jakarta Utara
SMA Dharma Putra Jakarta,Jakarta Utara
SMA Dharma Suci Jakarta,Jakarta Utara
SMA Don Bosco 1 Jakarta,Jakarta Utara
SMA Fons Vitae 2 Jakarta,Jakarta Utara
SMA Gideon Jakarta,Jakarta Utara
SMA Gita Kirti 2,Jakarta Utara
SMA Harapan Kasih Jakarta,Jakarta Utara
SMA Islam Al Azhar Kelapa Gading,Jakarta Utara
SMA Jac,Jakarta Utara
SMA Jubilee,Jakarta Utara
SMA Katolik Diakonia Jakarta,Jakarta Utara
SMA Kristen 5 Penabur,Jakarta Utara
SMA Kristen 6 Penabur,Jakarta Utara
SMA Kristen Calvin,Jakarta Utara
SMA Kristen Ipeka Pluit,Jakarta Utara
SMA Kristen Ipeka Sunter,Jakarta Utara
SMA Kristen Tunas Bangsa,Jakarta Utara
SMA Kristen Yusuf,Jakarta Utara
SMA Laphat Plus,Jakarta Utara
SMA Lilin Bangsa Intercultural School,Jakarta Utara
SMA Mahatma Gading,Jakarta Utara
SMA Mandala Cendekia,Jakarta Utara
SMA Marie Joseph,Jakarta Utara
SMA Methodist Jakarta,Jakarta Utara
SMA Mutiara 1 Jakarta,Jakarta Utara
SMA Nurul Falah Jakarta,Jakarta Utara
SMA Nusantara Jakarta,Jakarta Utara
SMA Nusantara Permai,Jakarta Utara
SMA Pelangi Kasih,Jakarta Utara
SMA Permai Jakarta,Jakarta Utara
SMA Permata Indah Jakarta,Jakarta Utara
SMA PGRI 12 Jakarta,Jakarta Utara
SMA Pusaka Abadi Jakarta,Jakarta Utara
SMA Saint Peter,Jakarta Utara
SMA Santo Lukas 1 Jakarta,Jakarta Utara
SMA Santo Yakobus Jakarta,Jakarta Utara
SMA St Maria Della Strada,Jakarta Utara
SMA Stella Maris Jakarta,Jakarta Utara
SMA Sukses Abadi,Jakarta Utara
SMA Tanjung Priok Jakarta,Jakarta Utara
SMA Tarakanita 2,Jakarta Utara
SMA Tunas Gading,Jakarta Utara
SMA Tunas Karya Jakarta,Jakarta Utara
