Nama Tempat,Wilayah Jakarta
Taman Suropati,Jakarta Pusat
Taman Jalan Layang Non Tol Tanah Abang,Jakarta Pusat
Taman Menteng,Jakarta Pusat
Taman Mangrove Muara Angke,Jakarta Utara
Taman Waduk Pluit,Jakarta Utara
Taman Waduk Ria Rio,Jakarta Timur
Taman Sunter,Jakarta Utara
Taman Aheme,Jakarta Selatan
Taman Bendera Pusaka,Jakarta Selatan
Taman Mahakam,Jakarta Selatan
Taman Mataram,Jakarta Selatan
Taman Jagakarsa,Jakarta Selatan
Taman Literasi Martha Christina Tiahahu,Jakarta Selatan
Taman Semanggi,Jakarta Selatan
RPTRA Bahari,Jakarta Selatan
RPTRA Sungai Bambu,Jakarta Utara
RPTRA Jatinegara,Jakarta Timur
RPTRA Meruya Utara,Jakarta Barat
RPTRA Meruya Selatan,Jakarta Barat
RPTRA Kembangan Selatan,Jakarta Barat
RPTRA Cipinang Besar Utara,Jakarta Timur
RPTRA Rusun Pulo Gebang,Jakarta Timur
RPTRA Karet Tengsin,Jakarta Pusat
RPTRA Amir Hamzah,Jakarta Pusat
RPTRA Borobudur,Jakarta Pusat
RPTRA Krendang,Jakarta Barat
Taman Hutan Kota Penjaringan,Jakarta Utara
RPTRA Sunter Jaya,Jakarta Utara
Taman Situ Lembang,Jakarta Pusat
RPTRA Pulo Gundul,Jakarta Pusat
RPTRA Rasamala,Jakarta Selatan
RPTRA Cililitan,Jakarta Timur
RPTRA Rawa Badak Utara,Jakarta Utara
RPTRA Manunggal,Jakarta Barat
RPTRA Melati Duri Pulo,Jakarta Pusat
RPTRA Ciganjur Berseri,Jakarta Selatan
RPTRA Kampung Perigi,Jakarta Selatan
