nama_tempat_wisata,
Taman Nasional Kepulauan Seribu,Kepulauan Seribu
Discovery Pulau Seribu,Kepulauan Seribu
Pulau Ayer,Kepulauan Seribu
Pulau Seribu,Kepulauan Seribu
Pulau Harapan,Kepulauan Seribu
Pulau Untung Jawa,Kepulauan Seribu
Pulau Semak Daun,Kepulauan Seribu
Pulau Bira,Kepulauan Seribu
Pulau Bidadari,Kepulauan Seribu
Pulau Tidung,Kepulauan Seribu
Pulau Onrust,Kepulauan Seribu
Pulau Kotok,Kepulauan Seribu
Pulau Pramuka,Kepulauan Seribu
Pantai Bukit Matahari,Kepulauan Seribu
Pantai Pasir Perawan,Kepulauan Seribu
Pantai Anyer,Kepulauan Seribu
Penangkaran penyu sisik,Kepulauan Seribu
Penangkaran Hiu [ 1 ],Kepulauan Seribu
Museum Fatahillah ,Jakarta Barat
Taman Tomang (Taman Cattleya),Jakarta Barat
Hutan Kota Srengseng,Jakarta Barat
Museum Wayang ,Jakarta Barat
Jakarta Aquarium,Jakarta Barat
Museum Seni Rupa dan Keramik,Jakarta Barat
Museum Tekstil ,Jakarta Barat
Kerta Niaga Kota Tua,Jakarta Barat
Museum Mandiri,Jakarta Barat
Pasar Glodok,Jakarta Barat
China Town ,Jakarta Barat
Slipi Jaya Plaza Slipi,Jakarta Barat
ITC Roxy Square ,Jakarta Barat
Mall Taman Anggrek ,Jakarta Barat
Mall Puri Indah ,Jakarta Barat
Mall Daan Mogot ,Jakarta Barat
Mall Ciputra Jakarta (d/h Citraland Mall),Jakarta Barat
Lokasari Plaza,Jakarta Barat
Lindeteves Trade Center (LTC-Glodok),Jakarta Barat
Taman Kali Jodo,Jakarta Barat
Hayam Wuruk Lindeteves ,Jakarta Barat
Harco Glodok Taman Sari,Jakarta Barat
Glodok Plaza ,Jakarta Barat
Monumen Selamat Datang,Jakarta Pusat
Monumen Proklamasi,Jakarta Pusat
Taman Suropati,Jakarta Pusat
Masjid Istiqlal ,Jakarta Pusat
Wisata Kuliner Pecenongan,Jakarta Pusat
Taman Menteng,Jakarta Pusat
Taman Ismail Marzuki,Jakarta Pusat
Taman Lapangan Banteng,Jakarta Pusat
Kawasan Kota Tua,Jakarta Pusat
Museum Sumpah Pemuda ,Jakarta Pusat
Museum Prasasti ,Jakarta Pusat
Pasar Tanah Abang Blok A,Jakarta Pusat
Museum Gedung Mohammad Hoesni Thamrin ,Jakarta Pusat
Monumen Nasional atau lebih dikenal Monas,Jakarta Pusat
Museum Nasional Republik Indonesia atau Museum Gajah,Jakarta Pusat
Museum Gajah,Jakarta Pusat
Museum Adam Malik,Jakarta Pusat
Museum Prangko Indonesia ,Jakarta Pusat
Taman Prasasti,Jakarta Pusat
Gedung Joang '45 ,Jakarta Pusat
Planetarium Menteng,Jakarta Pusat
Museum Bank Indonesia,Jakarta Pusat
Grand Indonesia Shopping Town ,Jakarta Pusat
Sarinah Plaza,Jakarta Pusat
Thamrin City,Jakarta Pusat
Pusat Pertokoan Duta Merlin Gambir,Jakarta Pusat
Senayan City,Jakarta Pusat
Lifestyle X'nter,Jakarta Pusat
ITC Roxy Mas,Jakarta Pusat
Harco Manggua Dua,Jakarta Pusat
Harco Mas Mangga Dua ,Jakarta Pusat
Dusit Mangga Dua ,Jakarta Pusat
Plaza Atrium ,Jakarta Pusat
EX Plaza Indonesia ,Jakarta Pusat
Plaza Menteng ,Jakarta Pusat
ITC Cempaka Mas ,Jakarta Pusat
Gajah Mada Plaza ,Jakarta Pusat
Plaza Indonesia ,Jakarta Pusat
Unit Pengelola Kawasan Perkampungan Budaya Betawi ,Jakarta Selatan
Setu Babakan ,Jakarta Selatan
Taman Anggrek Ragunan,Jakarta Selatan
Taman Spathodea Kebagusan,Jakarta Selatan
Kebun Binatang Ragunan,Jakarta Selatan
Taman Safari,Jakarta Selatan
Taman Ayodya,Jakarta Selatan
Museum Satria Mandala ,Jakarta Selatan
Gandaria City ,Jakarta Selatan
Pasaraya Blok M ,Jakarta Selatan
Mall Blok M ,Jakarta Selatan
Blok M Plaza ,Jakarta Selatan
Melawai Plaza ,Jakarta Selatan
Pasar Bata Putih ,Jakarta Selatan
ITC Permata Hijau ,Jakarta Selatan
Plaza Semanggi,Jakarta Selatan
Pacific Place,Jakarta Selatan
Setiabudi One,Jakarta Selatan
Mall Pondok Indah 1&2,Jakarta Selatan
Mall Ambassador Kuningan ,Jakarta Selatan
ITC Kuningan Setiabudi ,Jakarta Selatan
ITC Fatmawati ,Jakarta Selatan
Mall Cilandak Cilandak,Jakarta Selatan
Cilandak Town Square Cilandak,Jakarta Selatan
Plaza Kalibata Pancoran,Jakarta Selatan
Pancoran,Jakarta Selatan
Taman Hutan Tebet ,Jakarta Selatan
Taman Mini Indonesia Indah,Jakarta Timur
TMII Fresh Water Aquarium Park,Jakarta Timur
SnowBay Waterpark ,Jakarta Timur
Bird Park TMII,Jakarta Timur
Archipelago Conservation Park,Jakarta Timur
BUPERTA,Jakarta Timur
Monumen Pancasila Sakti,Jakarta Timur
Museum Timor Timur,Jakarta Timur
Museum Pengkhianatan PKI ,Jakarta Timur
Pulogadung Trade Center ,Jakarta Timur
Tamini Square ,Jakarta Timur
Pusat Grosir Cililitan ,Jakarta Timur
Cibubur Junction ,Jakarta Timur
Lippo Plaza Kramat Jati ,Jakarta Timur
Taman Ria Atmaja,Jakarta Timur
Taman Wisata Alam Mangrove,Jakarta Utara
Museum Bahari,Jakarta Utara
Ocean Eco Park,Jakarta Utara
Ocean Dream,Jakarta Utara
Taman Impian Jaya Ancol,Jakarta Utara
DUFAN Ancol ,Jakarta Utara
Sea World Ancol,Jakarta Utara
Atlantis Water Adventure,Jakarta Utara
Pantai Ancol,Jakarta Utara
Pasar Seni Ancol,Jakarta Utara
Gerbang Barat Ancol,Jakarta Utara
Ancol Lagoon,Jakarta Utara
Pantai Marunda,Jakarta Utara
Marina Beach,Jakarta Utara
Bartega,Jakarta Utara
Koja Trade Mall (KTM),Jakarta Utara
Plaza Koja - Ramayana Koja,Jakarta Utara
Emporium Pluit Mall ,Jakarta Utara
Mall of Indonesia ,Jakarta Utara
Kelapa Gading Trade Center,Jakarta Utara
Sports Mall Kelapa Gading,Jakarta Utara
Mall Artha Gading,Jakarta Utara
Mangga Dua Square ,Jakarta Utara
Pasar Pagi Mangga Dua ,Jakarta Utara
WTC Mangga Dua,Jakarta Utara
Pluit Village/Megamal Pluit ,Jakarta Utara
Mall Sunter ,Jakarta Utara
Mangga Dua Square,Jakarta Utara
Mall Kelapa Gading,Jakarta Utara
ITC Mangga Dua ,Jakarta Utara
