KodePos,Kelurahan,Kecamatan,KotaKabupaten,Provinsi
14430,Ancol,Pademangan,Kota Jakarta Utara,DKI Jakarta
11330,Angke,Tambora,Kota Jakarta Barat,DKI Jakarta
13530,Balekambang,Kramatjati,Kota Jakarta Timur,DKI Jakarta
13310,Bali Mester,Jatinegara,Kota Jakarta Timur,DKI Jakarta
13890,Bambu Apus,Cipayung,Kota Jakarta Timur,DKI Jakarta
12730,Bangka,Mampang Prapatan,Kota Jakarta Selatan,DKI Jakarta
13780,Baru,Pasar Rebo,Kota Jakarta Timur,DKI Jakarta
13520,Batu Ampar,Kramatjati,Kota Jakarta Timur,DKI Jakarta
10210,Bendungan Hilir,Tanah Abang,Kota Jakarta Pusat,DKI Jakarta
13330,Bidara Cina,Jatinegara,Kota Jakarta Timur,DKI Jakarta
12330,Bintaro,Pesanggrahan,Kota Jakarta Selatan,DKI Jakarta
12840,Bukit Duri,Tebet,Kota Jakarta Selatan,DKI Jakarta
10460,Bungur,Senen,Kota Jakarta Pusat,DKI Jakarta
13910,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta
13910,Cakung Timur,Cakung,Kota Jakarta Timur,DKI Jakarta
13630,Cawang,Kramatjati,Kota Jakarta Timur,DKI Jakarta
13820,Ceger,Cipayung,Kota Jakarta Timur,DKI Jakarta
10640,Cempaka Baru,Kemayoran,Kota Jakarta Pusat,DKI Jakarta
10520,Cempaka Putih Barat,Cempaka Putih,Kota Jakarta Pusat,DKI Jakarta
10510,Cempaka Putih Timur,Cempaka Putih,Kota Jakarta Pusat,DKI Jakarta
11730,Cengkareng Barat,Cengkareng,Kota Jakarta Barat,DKI Jakarta
11730,Cengkareng Timur,Cengkareng,Kota Jakarta Barat,DKI Jakarta
13720,Cibubur,Ciracas,Kota Jakarta Timur,DKI Jakarta
10150,Cideng,Gambir,Kota Jakarta Pusat,DKI Jakarta
12630,Ciganjur,Jagakarsa,Kota Jakarta Selatan,DKI Jakarta
13770,Cijantung,Pasar Rebo,Kota Jakarta Timur,DKI Jakarta
10330,Cikini,Menteng,Kota Jakarta Pusat,DKI Jakarta
12770,Cikoko,Pancoran,Kota Jakarta Selatan,DKI Jakarta
12430,Cilandak Barat,Cilandak,Kota Jakarta Selatan,DKI Jakarta
12560,Cilandak Timur,Pasar Minggu,Kota Jakarta Selatan,DKI Jakarta
13870,Cilangkap,Cipayung,Kota Jakarta Timur,DKI Jakarta
13640,Cililitan,Kramatjati,Kota Jakarta Timur,DKI Jakarta
14120,Cilincing,Cilincing,Kota Jakarta Utara,DKI Jakarta
13840,Cipayung,Cipayung,Kota Jakarta Timur,DKI Jakarta
12630,Cipedak,Jagakarsa,Kota Jakarta Selatan,DKI Jakarta
12410,Cipete Selatan,Cilandak,Kota Jakarta Selatan,DKI Jakarta
12150,Cipete Utara,Kebayoran Baru,Kota Jakarta Selatan,DKI Jakarta
13240,Cipinang,Pulogadung,Kota Jakarta Timur,DKI Jakarta
13410,Cipinang Besar Selatan,Jatinegara,Kota Jakarta Timur,DKI Jakarta
13410,Cipinang Besar Utara,Jatinegara,Kota Jakarta Timur,DKI Jakarta
13340,Cipinang Cempedak,Jatinegara,Kota Jakarta Timur,DKI Jakarta
13620,Cipinang Melayu,Makasar,Kota Jakarta Timur,DKI Jakarta
13420,Cipinang Muara,Jatinegara,Kota Jakarta Timur,DKI Jakarta
12230,Cipulir,Kebayoran Lama,Kota Jakarta Selatan,DKI Jakarta
13740,Ciracas,Ciracas,Kota Jakarta Timur,DKI Jakarta
13550,Dukuh,Kramatjati,Kota Jakarta Timur,DKI Jakarta
13440,Duren Sawit,Duren Sawit,Kota Jakarta Timur,DKI Jakarta
12760,Duren Tiga,Pancoran,Kota Jakarta Selatan,DKI Jakarta
11510,Duri Kepa,Kebon Jeruk,Kota Jakarta Barat,DKI Jakarta
11750,Duri Kosambi,Cengkareng,Kota Jakarta Barat,DKI Jakarta
10140,Duri Pulo,Gambir,Kota Jakarta Pusat,DKI Jakarta
11270,Duri Selatan,Tambora,Kota Jakarta Barat,DKI Jakarta
11270,Duri Utara,Tambora,Kota Jakarta Barat,DKI Jakarta
10530,Galur,Johar Baru,Kota Jakarta Pusat,DKI Jakarta
10110,Gambir,Gambir,Kota Jakarta Pusat,DKI Jakarta
12420,Gandaria Selatan,Cilandak,Kota Jakarta Selatan,DKI Jakarta
12140,Gandaria Utara,Kebayoran Baru,Kota Jakarta Selatan,DKI Jakarta
13760,Gedong,Pasar Rebo,Kota Jakarta Timur,DKI Jakarta
10270,Gelora,Tanah Abang,Kota Jakarta Pusat,DKI Jakarta
11120,Glodok,Taman Sari,Kota Jakarta Barat,DKI Jakarta
10350,Gondangdia,Menteng,Kota Jakarta Pusat,DKI Jakarta
11450,Grogol,Grogol Petamburan,Kota Jakarta Barat,DKI Jakarta
12220,Grogol Selatan,Kebayoran Lama,Kota Jakarta Selatan,DKI Jakarta
12210,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan,DKI Jakarta
12980,Guntur,Setiabudi,Kota Jakarta Selatan,DKI Jakarta
12120,Gunung,Kebayoran Baru,Kota Jakarta Selatan,DKI Jakarta
10610,Gunung Sahari Selatan,Kemayoran,Kota Jakarta Pusat,DKI Jakarta
10720,Gunung Sahari Utara,Sawah Besar,Kota Jakarta Pusat,DKI Jakarta
13610,Halim Perdana Kusuma,Makasar,Kota Jakarta Timur,DKI Jakarta
10640,Harapan Mulia,Kemayoran,Kota Jakarta Pusat,DKI Jakarta
12620,Jagakarsa,Jagakarsa,Kota Jakarta Selatan,DKI Jakarta
97522,Jakarta Baru,Bula Barat,Kabupaten Seram Bagian Timur,Maluku
13220,Jati,Pulogadung,Kota Jakarta Timur,DKI Jakarta
12540,Jati Padang,Pasar Minggu,Kota Jakarta Selatan,DKI Jakarta
13930,Jatinegara,Cakung,Kota Jakarta Timur,DKI Jakarta
13250,Jatinegara Kaum,Pulogadung,Kota Jakarta Timur,DKI Jakarta
11430,Jatipulo,Pal Merah,Kota Jakarta Barat,DKI Jakarta
11460,Jelambar,Grogol Petamburan,Kota Jakarta Barat,DKI Jakarta
11460,Jelambar Baru,Grogol Petamburan,Kota Jakarta Barat,DKI Jakarta
11320,Jembatan Besi,Tambora,Kota Jakarta Barat,DKI Jakarta
11250,Jembatan Lima,Tambora,Kota Jakarta Barat,DKI Jakarta
11640,Joglo,Kembangan,Kota Jakarta Barat,DKI Jakarta
10560,Johar Baru,Johar Baru,Kota Jakarta Pusat,DKI Jakarta
11310,Kali Anyar,Tambora,Kota Jakarta Barat,DKI Jakarta
14110,Kalibaru,Cilincing,Kota Jakarta Utara,DKI Jakarta
12740,Kalibata,Pancoran,Kota Jakarta Selatan,DKI Jakarta
11840,Kalideres,Kalideres,Kota Jakarta Barat,DKI Jakarta
13790,Kalisari,Pasar Rebo,Kota Jakarta Timur,DKI Jakarta
11810,Kamal,Kalideres,Kota Jakarta Barat,DKI Jakarta
14470,Kamal Muara,Penjaringan,Kota Jakarta Utara,DKI Jakarta
10250,Kampung Bali,Tanah Abang,Kota Jakarta Pusat,DKI Jakarta
13320,Kampung Melayu,Jatinegara,Kota Jakarta Timur,DKI Jakarta
10550,Kampung Rawa,Johar Baru,Kota Jakarta Pusat,DKI Jakarta
11720,Kapuk,Cengkareng,Kota Jakarta Barat,DKI Jakarta
14460,Kapuk Muara,Penjaringan,Kota Jakarta Utara,DKI Jakarta
10740,Karang Anyar,Sawah Besar,Kota Jakarta Pusat,DKI Jakarta
12920,Karet,Setiabudi,Kota Jakarta Selatan,DKI Jakarta
12940,Karet Kuningan,Setiabudi,Kota Jakarta Selatan,DKI Jakarta
12930,Karet Semanggi,Setiabudi,Kota Jakarta Selatan,DKI Jakarta
10220,Karet Tengsin,Tanah Abang,Kota Jakarta Pusat,DKI Jakarta
10750,Kartini,Sawah Besar,Kota Jakarta Pusat,DKI Jakarta
13130,Kayu Manis,Matraman,Kota Jakarta Timur,DKI Jakarta
13210,Kayu Putih,Pulogadung,Kota Jakarta Timur,DKI Jakarta
11130,Keagungan,Taman Sari,Kota Jakarta Barat,DKI Jakarta
12520,Kebagusan,Pasar Minggu,Kota Jakarta Selatan,DKI Jakarta
12240,Kebayoran Lama Selatan,Kebayoran Lama,Kota Jakarta Selatan,DKI Jakarta
12240,Kebayoran Lama Utara,Kebayoran Lama,Kota Jakarta Selatan,DKI Jakarta
12830,Kebon Baru,Tebet,Kota Jakarta Selatan,DKI Jakarta
14320,Kebon Bawang,Tanjung Priok,Kota Jakarta Utara,DKI Jakarta
11530,Kebon Jeruk,Kebon Jeruk,Kota Jakarta Barat,DKI Jakarta
10240,Kebon Kacang,Tanah Abang,Kota Jakarta Pusat,DKI Jakarta
10120,Kebon Kelapa,Gambir,Kota Jakarta Pusat,DKI Jakarta
10630,Kebon Kosong,Kemayoran,Kota Jakarta Pusat,DKI Jakarta
13150,Kebon Manggis,Matraman,Kota Jakarta Timur,DKI Jakarta
10230,Kebon Melati,Tanah Abang,Kota Jakarta Pusat,DKI Jakarta
13650,Kebon Pala,Makasar,Kota Jakarta Timur,DKI Jakarta
10340,Kebon Sirih,Menteng,Kota Jakarta Pusat,DKI Jakarta
11710,Kedaung Kali Angke,Cengkareng,Kota Jakarta Barat,DKI Jakarta
11520,Kedoya Selatan,Kebon Jeruk,Kota Jakarta Barat,DKI Jakarta
11520,Kedoya Utara,Kebon Jeruk,Kota Jakarta Barat,DKI Jakarta
11550,Kelapa Dua,Kebon Jeruk,Kota Jakarta Barat,DKI Jakarta
13730,Kelapa Dua Wetan,Ciracas,Kota Jakarta Timur,DKI Jakarta
14240,Kelapa Gading Barat,Kelapa Gading,Kota Jakarta Utara,DKI Jakarta
14240,Kelapa Gading Timur,Kelapa Gading,Kota Jakarta Utara,DKI Jakarta
11480,Kemanggisan,Pal Merah,Kota Jakarta Barat,DKI Jakarta
10620,Kemayoran,Kemayoran,Kota Jakarta Pusat,DKI Jakarta
11610,Kembangan Selatan,Kembangan,Kota Jakarta Barat,DKI Jakarta
11610,Kembangan Utara,Kembangan,Kota Jakarta Barat,DKI Jakarta
10430,Kenari,Senen,Kota Jakarta Pusat,DKI Jakarta
13470,Klender,Duren Sawit,Kota Jakarta Timur,DKI Jakarta
14210,Koja,Koja,Kota Jakarta Utara,DKI Jakarta
11420,Kota Bambu Selatan,Pal Merah,Kota Jakarta Barat,DKI Jakarta
11420,Kota Bambu Utara,Pal Merah,Kota Jakarta Barat,DKI Jakarta
10450,Kramat,Senen,Kota Jakarta Pusat,DKI Jakarta
12130,Kramat Pela,Kebayoran Baru,Kota Jakarta Selatan,DKI Jakarta
13510,Kramatjati,Kramatjati,Kota Jakarta Timur,DKI Jakarta
11260,Krendang,Tambora,Kota Jakarta Barat,DKI Jakarta
11140,Krukut,Taman Sari,Kota Jakarta Barat,DKI Jakarta
12710,Kuningan Barat,Mampang Prapatan,Kota Jakarta Selatan,DKI Jakarta
12950,Kuningan Timur,Setiabudi,Kota Jakarta Selatan,DKI Jakarta
10420,Kwitang,Senen,Kota Jakarta Pusat,DKI Jakarta
14270,Lagoa,Koja,Kota Jakarta Utara,DKI Jakarta
12440,Lebak Bulus,Cilandak,Kota Jakarta Selatan,DKI Jakarta
12630,Lenteng Agung,Jagakarsa,Kota Jakarta Selatan,DKI Jakarta
13810,Lubang Buaya,Cipayung,Kota Jakarta Timur,DKI Jakarta
13570,Makasar,Makasar,Kota Jakarta Timur,DKI Jakarta
13460,Malaka Jaya,Duren Sawit,Kota Jakarta Timur,DKI Jakarta
13460,Malaka Sari,Duren Sawit,Kota Jakarta Timur,DKI Jakarta
12790,Mampang Prapatan,Mampang Prapatan,Kota Jakarta Selatan,DKI Jakarta
11180,Mangga Besar,Taman Sari,Kota Jakarta Barat,DKI Jakarta
10730,Mangga Dua Selatan,Sawah Besar,Kota Jakarta Pusat,DKI Jakarta
12850,Manggarai,Tebet,Kota Jakarta Selatan,DKI Jakarta
12860,Manggarai Selatan,Tebet,Kota Jakarta Selatan,DKI Jakarta
11160,Maphar,Taman Sari,Kota Jakarta Barat,DKI Jakarta
14150,Marunda,Cilincing,Kota Jakarta Utara,DKI Jakarta
12160,Melawai,Kebayoran Baru,Kota Jakarta Selatan,DKI Jakarta
10310,Menteng,Menteng,Kota Jakarta Pusat,DKI Jakarta
12960,Menteng Atas,Setiabudi,Kota Jakarta Selatan,DKI Jakarta
12870,Menteng Dalam,Tebet,Kota Jakarta Selatan,DKI Jakarta
11650,Meruya Selatan,Kembangan,Kota Jakarta Barat,DKI Jakarta
