input_text,output_json
Lokasi rumah: The City Center Batavia No. 22 A16 / Lantai 16 Unit 7A / RT 08/RW 04 / Pulogadung / Jati / Jakarta Tim.,"{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""The City Center Batavia"", ""blok_kavling"": ""A16"", ""nomor"": ""22"", ""rt"": ""8"", ""rw"": ""4"", ""kelurahan"": ""Jati"", ""kecamatan"": ""Pulogadung"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": null, ""kodepos"": null, ""detail_unit"": ""Lantai 16 Unit 7A""}"
Alamat saya di PLUIT SELATAN III 14 / Rt.7 / Rw.3 / Petojo Utara / Gambir / Jakpus / 10130,"{""nama_jalan"": ""JL. PLUIT SELATAN III"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""14"", ""rt"": ""7"", ""rw"": ""3"", ""kelurahan"": ""Petojo Utara"", ""kecamatan"": ""Gambir"", ""kota_kabupaten"": ""Kota Jakarta Pusat"", ""provinsi"": null, ""kodepos"": ""10130"", ""detail_unit"": null}"
Jaktim - 13240 - Cipinang - Pulogadung - Keraton at The Plaza Blok C11 19 - Rt.11 / Rw.13,"{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""Keraton at The Plaza"", ""blok_kavling"": ""C11"", ""nomor"": ""19"", ""rt"": ""11"", ""rw"": ""13"", ""kelurahan"": ""Cipinang"", ""kecamatan"": ""Pulogadung"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": null, ""kodepos"": ""13240"", ""detail_unit"": null}"
Lokasi rumah: Jakarta Pusat 10560 DKI Jakarta Johar Baru Johar Baru SMK Muhammadiyah 12 36 Blok C9 RT 2 RW 14,"{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""SMK Muhammadiyah 12"", ""blok_kavling"": ""C9"", ""nomor"": ""36"", ""rt"": ""2"", ""rw"": ""14"", ""kelurahan"": ""Johar Baru"", ""kecamatan"": ""Johar Baru"", ""kota_kabupaten"": ""Kota Jakarta Pusat"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""10560"", ""detail_unit"": null}"
Tolong antarkan ke alamat No. 80B JL PULAU DUA TIMUR Lantai 16 Unit 1A RT 12 RW 10 Maphar Taman Sari Jakbar 11160 DKI Jakarta,"{""nama_jalan"": ""PULAU DUA TIMUR"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""80B"", ""rt"": ""12"", ""rw"": ""10"", ""kelurahan"": ""Maphar"", ""kecamatan"": ""Taman Sari"", ""kota_kabupaten"": ""Kota Jakarta Barat"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""11160"", ""detail_unit"": ""Lantai 16 Unit 1A""}"
Lokasi rumah: The Grove Tower 1 No. 44 Blok A17 / RT 03/RW 13 / Klender / Duren Sawit / Jakarta Tim. / 13470,"{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""The Grove Tower 1"", ""blok_kavling"": ""A17"", ""nomor"": ""44"", ""rt"": ""3"", ""rw"": ""13"", ""kelurahan"": ""Klender"", ""kecamatan"": ""Duren Sawit"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": null, ""kodepos"": ""13470"", ""detail_unit"": null}"
"gg RAA MULIA No.66A - Rt.15, Rw.13 - Jagakarsa - Jagakarsa - DKI Jakarta - Jakarta Selatan - 12620","{""nama_jalan"": ""JL. RASA MULIA"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""66A"", ""rt"": ""15"", ""rw"": ""13"", ""kelurahan"": ""Jagakarsa"", ""kecamatan"": ""Jagakarsa"", ""kota_kabupaten"": ""Kota Jakarta Selatan"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""12620"", ""detail_unit"": null}"
Alamat saya di DKI Jakarta / Jakarta Timur / 13760 / Gedong / Pasar Rebo / gg. CILINCING BARU No.3C / RT 15 / RW 5,"{""nama_jalan"": ""JL. CILINCING BARU"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""3C"", ""rt"": ""15"", ""rw"": ""5"", ""kelurahan"": ""Gedong"", ""kecamatan"": ""Pasar Rebo"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""13760"", ""detail_unit"": null}"
Tolong antarkan ke alamat The Stay Antasari 27 22 B12 / Lantai 23 Unit 2A / RT 06/RW 15 / Ciracas / Ciracas / Jakarta Timur,"{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""The Stay Antasari 27"", ""blok_kavling"": ""B12"", ""nomor"": ""22"", ""rt"": ""6"", ""rw"": ""15"", ""kelurahan"": ""Ciracas"", ""kecamatan"": ""Ciracas"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": null, ""kodepos"": null, ""detail_unit"": ""Lantai 23 Unit 2A""}"
Kirim paket ke No.2 JALAN TANJUNG DUREN TIMUR IV - Cipayung - Cipayung - Jaktim - 13840,"{""nama_jalan"": ""JL. TANJUNG DUREN TIMUR IV"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""2"", ""rt"": null, ""rw"": null, ""kelurahan"": ""Cipayung"", ""kecamatan"": ""Cipayung"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": null, ""kodepos"": ""13840"", ""detail_unit"": null}"
Tujuan: Marunda / Cilincing / SMA Bina Dharma Jakarta 27 B13 / RT 15/RW 12 / Jakarta Utara / 14150 / DKI Jakarta,"{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""SMA Bina Dharma Jakarta"", ""blok_kavling"": ""B13"", ""nomor"": ""27"", ""rt"": ""15"", ""rw"": ""12"", ""kelurahan"": ""Marunda"", ""kecamatan"": ""Cilincing"", ""kota_kabupaten"": ""Kota Jakarta Utara"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""14150"", ""detail_unit"": null}"
"Kirim paket ke Tebet Timur, Tebet, jl PENGUKIRAN III No.74A, Jaksel, 12820, DKI Jakarta","{""nama_jalan"": ""JL. PENGUKIRAN III"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""74A"", ""rt"": null, ""rw"": null, ""kelurahan"": ""Tebet Timur"", ""kecamatan"": ""Tebet"", ""kota_kabupaten"": ""Kota Jakarta Selatan"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""12820"", ""detail_unit"": null}"
Alamat saya di Pekayon - Pasar Rebo - Signature Park Apartment B11 No. 25 - RT 13/RW 09 - Jakarta Timur,"{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""Signature Park Apartment"", ""blok_kavling"": ""B11"", ""nomor"": ""25"", ""rt"": ""13"", ""rw"": ""9"", ""kelurahan"": ""Pekayon"", ""kecamatan"": ""Pasar Rebo"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": null, ""kodepos"": null, ""detail_unit"": null}"
"JLN TRUNOJOY0 No. 59C, RT 8 / RW 13, Duri Kosambi, Cengkareng, Jakarta Bar., 11750","{""nama_jalan"": ""JL. TRUNOJOY0"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""59C"", ""rt"": ""8"", ""rw"": ""13"", ""kelurahan"": ""Duri Kosambi"", ""kecamatan"": ""Cengkareng"", ""kota_kabupaten"": ""Kota Jakarta Barat"", ""provinsi"": null, ""kodepos"": ""11750"", ""detail_unit"": null}"
"Tujuan: gang PULAU KALIAGE BESAR No. 11B / RT 12, RW 13 / Ciganjur / Jagakarsa / Jaksel / 12630","{""nama_jalan"": ""PULAU KALIAGE BESAR"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""11B"", ""rt"": ""12"", ""rw"": ""13"", ""kelurahan"": ""Ciganjur"", ""kecamatan"": ""Jagakarsa"", ""kota_kabupaten"": ""Kota Jakarta Selatan"", ""provinsi"": null, ""kodepos"": ""12630"", ""detail_unit"": null}"
"Tolong antarkan ke alamat Jalan JATINEGARA KAUM 89, RT 08/RW 02, Pondok Labu, Cilandak, Jakarta Sel., 12450","{""nama_jalan"": ""JL. JATINEGARA KAUM"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""89"", ""rt"": ""8"", ""rw"": ""2"", ""kelurahan"": ""Pondok Labu"", ""kecamatan"": ""Cilandak"", ""kota_kabupaten"": ""Kota Jakarta Selatan"", ""provinsi"": null, ""kodepos"": ""12450"", ""detail_unit"": null}"
Lokasi rumah: Ceger Cipayung SMK Dental Asisten Sekesal Jakarta 48 Blok D3 Jaktim 13820,"{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""SMK Dental Asisten Sekesal Jakarta"", ""blok_kavling"": ""D3"", ""nomor"": ""48"", ""rt"": null, ""rw"": null, ""kelurahan"": ""Ceger"", ""kecamatan"": ""Cipayung"", ""kota_kabupaten"": ""Kota Jakarta Timur"", ""provinsi"": null, ""kodepos"": ""13820"", ""detail_unit"": null}"
Kirim paket ke GEDUNG HIJAU 82C / RT 6 RW 3 / Kota Bambu Utara / Pal Merah / Jakarta Barat,"{""nama_jalan"": ""JL. GEDUNG HIJAU"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""82C"", ""rt"": ""6"", ""rw"": ""3"", ""kelurahan"": ""Kota Bambu Utara"", ""kecamatan"": ""Pal Merah"", ""kota_kabupaten"": ""Kota Jakarta Barat"", ""provinsi"": null, ""kodepos"": null, ""detail_unit"": null}"
"Alamat saya di Jakarta Pus. - Kebon Sirih - Menteng - gang JAMBORE RAYA No.47 - Lantai 17 Unit 2A - Rt.9, Rw.7","{""nama_jalan"": ""JL. JAMBORE RAYA"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""47"", ""rt"": ""9"", ""rw"": ""7"", ""kelurahan"": ""Kebon Sirih"", ""kecamatan"": ""Menteng"", ""kota_kabupaten"": ""Kota Jakarta Pusat"", ""provinsi"": null, ""kodepos"": null, ""detail_unit"": ""Lantai 17 Unit 2A""}"
"Kirim paket ke No.55 gg. PULO LENTUT, RT 15/RW 03, Pulo, Kebayoran Baru, 12160, Jakarta Selatan, DKI Jakarta","{""nama_jalan"": ""JL. PULO LENTUT"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""55"", ""rt"": ""15"", ""rw"": ""3"", ""kelurahan"": ""Pulo"", ""kecamatan"": ""Kebayoran Baru"", ""kota_kabupaten"": ""Kota Jakarta Selatan"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""12160"", ""detail_unit"": null}"
Tujuan: Srengseng Kembangan Menara Jakarta 26 Blok C19 RT 03/RW 05 Jakarta Bar.,"{""nama_jalan"": null, ""nama_kompleks_atau_gedung"": ""Menara Jakarta"", ""blok_kavling"": ""C19"", ""nomor"": ""26"", ""rt"": ""3"", ""rw"": ""5"", ""kelurahan"": ""Srengseng"", ""kecamatan"": ""Kembangan"", ""kota_kabupaten"": ""Kota Jakarta Barat"", ""provinsi"": null, ""kodepos"": null, ""detail_unit"": null}"
Kirim paket ke jl. PETAMBURAN IX 96A - Lantai 15 Unit 4A - RT 13 / RW 1 - Cilandak Timur - Pasar Minggu - Jakarta Selatan - 12560 - DKI Jakarta,"{""nama_jalan"": ""JL. PETAMBURAN IX"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""96A"", ""rt"": ""13"", ""rw"": ""1"", ""kelurahan"": ""Cilandak Timur"", ""kecamatan"": ""Pasar Minggu"", ""kota_kabupaten"": ""Kota Jakarta Selatan"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": ""12560"", ""detail_unit"": ""Lantai 15 Unit 4A""}"
Jl TMII No. 88B / RT 03/RW 12 / Sawah Besar / Karang Anyar / Jakarta Pus. / 10740,"{""nama_jalan"": ""JL. TMII"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""88B"", ""rt"": ""3"", ""rw"": ""12"", ""kelurahan"": ""Karang Anyar"", ""kecamatan"": ""Sawah Besar"", ""kota_kabupaten"": ""Kota Jakarta Pusat"", ""provinsi"": null, ""kodepos"": ""10740"", ""detail_unit"": null}"
Tujuan: JLN I GUSTI NGURAH RAI No.85B - Kebon Bawang - Tanjung Priok - Jakut - DKI Jakarta,"{""nama_jalan"": ""JL. I GUSTI NGURAH RAI"", ""nama_kompleks_atau_gedung"": null, ""blok_kavling"": null, ""nomor"": ""85B"", ""rt"": null, ""rw"": null, ""kelurahan"": ""Kebon Bawang"", ""kecamatan"": ""Tanjung Priok"", ""kota_kabupaten"": ""Kota Jakarta Utara"", ""provinsi"": ""DKI Jakarta"", ""kodepos"": null, ""detail_unit"": null}"
